ACCOUNT_NAME,Sum_Sales,Date,QTY
Iron Mountain Inc.,5039,12/05/2020,
"Ruth?s Hospitality Group, Inc.",7822,02/08/2021,
MSC Industrial Supply Co.,5195,29/01/2024,
Insulet Corporation,3920,06/09/2017,
"SAMSUNG BIOLOGICS CO., LTD",12218,30/09/2022,
"RingCentral, Inc.",10442,31/08/2021,
"CCBCC OPERATIONS, LLC",141149,31/12/2023,
"Pnm Resources, Inc.",31170,31/07/2020,
Verizon Communications Inc.,4184,16/03/2024,
Worldpay LLC.,14027,31/12/2019,
Greencross Ltd,3497,23/05/2017,
Fitch Group,26883,25/07/2023,
Honeywell International Inc.,28365,01/06/2022,
"Universal City Development Partners, Ltd.",0,15/09/2019,
MLC WEALTH LIMITED,16682,15/03/2022,
Essentra International Limited,11326,31/07/2017,
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN. BHD.,4686,05/12/2021,
"University Hospitals Health System, Inc.",3995,06/04/2018,
PARAREV,10182,09/11/2022,
Dr Brandt Skincare,2942,02/11/2020,
"Healthtrust Purchasing Group, LP",0,01/01/2018,
Aeromaritime Security Systems Middle East,2621,26/03/2019,
Well Pharmacy,10097,24/09/2021,
"T-Mobile USA, Inc.",33990,18/12/2014,
Yardhaus LLC,4195,30/06/2017,
ZIMMER BIOMET UK LIMITED,5065,04/11/2016,
"KPC Promise Healthcare, LLC",11695,06/04/2021,
Ricoh Australia Pty Ltd,2013,29/06/2016,
Exxonmobil Global Services Company,5195,15/04/2024,
"Docsi, LLC",960,22/11/2022,
The Dairy Farm Company Limited,8023,26/08/2022,
Lucile Packard Foundation for Children's Health,52833,31/10/2015,
The Learning Experience Corp,1295,21/03/2016,
HOKEN NO MADOGUCHI GROUP INC.,66376,01/04/2024,
"BI-LO, LLC",30136,24/09/2021,
Macquarie Group Services Australia Pty Ltd,15728,01/11/2019,
Orchestra A/S,4670,09/05/2019,
"Ciena Canada, Inc",3875,17/04/2017,
PEARSON SHARED SERVICES LIMITED,44697,30/12/2019,
Apex Global Solutions,8312,11/08/2023,
"Two Sigma Investments, LP",9826,24/03/2022,
BIRMAN WOOD & HARDWARE LTD.,2909,01/09/2019,
IRB Brasil Resseguros S/A.,10335,01/02/2020,
Publishing Concepts Inc,5098,15/11/2016,
MPG Operations LLC,4884,16/07/2020,
"L & F Distributors, LLC",19882,24/06/2024,
University Of Sunderland,12812,02/08/2021,
Marks and Spencer UK PLC,0,16/07/2018,
"Crane Holdings, Co",15473,01/03/2022,
First Horizon Bank,15651,14/11/2022,
AIR FORCE,18703,15/06/2021,
"NISSAN FINANCIAL SERVICES CO., LTD.",5249,01/11/2020,
NFP Corp.,15585,05/04/2021,
WOOD GROUP UK LIMITED,16943,22/03/2022,
"BJ'S Wholesale Club, Inc.",4935,08/03/2024,
Kaiser Permanente - Southern California Health Plan,79500,31/08/2016,
Colonial Pipeline Company,5195,01/10/2022,
CIBT,5195,27/05/2021,
KAYAK SOFTWARE CORPORATION,5195,30/06/2018,
"Bio-RAD Laboratories, Inc.",20780,30/06/2018,
Cargill Business Services India Private Limited,2728,23/06/2017,
The University of Edinburgh,23840,09/12/2020,
GHD FRANCE,10810,19/09/2023,
SAG-AFTRA,10390,29/12/2023,
"Tapestry, Inc.",4935,20/09/2023,
Exxonmobil Global Services Company,41606,13/12/2021,
DANONE,13701,09/03/2020,
Homeserve USA Corp,7273,07/04/2022,
NBN CO LIMITED,7849,02/08/2016,
Biomarin Pharmaceutical Inc.,24027,21/05/2021,
LifeShare,3396,22/04/2017,
SurveyGizmo,5195,05/08/2019,
"HOULIHAN LOKEY, INC.",5195,19/11/2021,
Finext Control B.V.,5545,31/07/2019,
Edwards Lifesciences AG,5837,01/01/2020,
Diameter Capital Partners LP,4156,21/02/2023,
PNC Bank,11344,17/05/2019,
Biomat USA Inc,14884,13/05/2022,
Celgene Corporation,10385,19/05/2017,
Elite Business Investments Inc.,1295,14/10/2015,
ANGLICAN SCHOOLS CORPORATION,8134,31/07/2023,
BRITISH SKY BROADCASTING GROUP PLC,3338,24/07/2021,
Next Agenda ApS,2500,30/03/2015,
"Wideopenwest Networks, LLC",0,14/12/2018,
Colgate Energy LLC,10390,20/12/2020,
Swagelok Company,0,01/01/2018,
Banco Inter S A,8995,18/12/2022,
VORTEXA LTD,6248,25/06/2019,
Avient Corporation,10390,30/09/2019,
Newmont USA Limited,5091,04/12/2023,
"ZS Associates, Inc.",62340,07/11/2018,
"Magellan Midstream Partners, LP",10915,04/12/2022,
"Teva Pharmaceuticals USA, Inc.",1553,01/07/2023,
Deloitte Management Services LP,2500,31/03/2017,
VMware LLC,24450,31/01/2020,
Sleep Number Corporation,49385,02/01/2018,
Nordea Bank AB,4128,01/10/2022,
SPARK FOUNDRY LIMITED,5271,07/09/2023,
UNIVERSITY OF NOTTINGHAM (THE),3415,26/06/2023,
"Tribune Direct Marketing, LLC dba Conversion Alliance",5195,01/01/2020,
STANDARD CHARTERED BANK - SG,53248,30/09/2021,
"Astec Industries, Inc.",5195,19/07/2023,
"Americares Foundation, Inc.",4835,04/01/2022,
"Kajabi, LLC",7793,05/03/2023,
Royal Bank Of Canada,24135,28/11/2022,
"Virtuous Software, LLC",22088,30/06/2022,
Danske Bank A/S,3845,20/10/2023,
Attensi,3926,26/04/2021,
BeiGene LTD,4765,01/10/2021,
BPCE,380333,21/03/2022,
SAGE GLOBAL SERVICES (GLOBAL CONTR),10259,30/12/2019,
"The Andersons, Inc.",9624,12/01/2022,
"Charter Communications Operating, LLC",5039,19/02/2020,
"Amazon.com Services, Inc.",3938,28/02/2023,
Unilever Ascc AG,9574,31/08/2020,
Datacom Systems (AU) Pty Ltd,20259,,
"USCC Services, LLC",12468,09/08/2022,
JEA,8829,20/12/2016,
Institute of Physics,4104,10/11/2019,
Gilead Japan,3116,18/07/2016,
LPL Financial LLC,19646,28/01/2022,
Cogeco Connexion Inc.,5448,01/04/2024,
OP Financial Group,2946,09/09/2017,
Copa Airlines,3504,02/08/2022,
Uniper IT GmbH,10265,01/12/2017,
"West Shore Home, LLC",9941,17/05/2024,
"Innocean Worldwide Americas, LLC",4416,30/12/2023,
The Riverside Company,67287,26/02/2022,
DBS BANK LTD.,10040,01/07/2023,
EMPRESA NACIONAL DE TELECOMUNICACIONES S.A.,10524,18/10/2018,
U4crypto Soluç?es Ltda,2994,30/09/2020,
"Lytx, Inc.",4000,27/07/2017,
Truog Consulting,4676,22/11/2023,
Ricoh Americas Corporation,4935,15/12/2022,
Auburn Pharmaceutical Company,11823,31/08/2022,
Children's Healthcare of Atlanta Inc,41444,31/03/2016,
"Sunbelt Rentals, Inc.",9426,13/07/2021,
CDW LLC,464250,02/12/2022,
Raytheon Company,12468,01/03/2024,
HARPER ADAMS UNIVERSITY,3672,27/05/2024,
Robert Bosch LLC,61600,01/11/2023,
Capgemini Australia Pty Ltd,22113,10/08/2019,
FERNANDES RINHEL & CONSULTORES ASSOCIADOS LTDA,4067,26/04/2024,
PPD Global LTD,14755,24/10/2023,
Novozymes A/S,4567,01/04/2020,
"Swift Transportation Co. of Arizona, LLC",11096,14/12/2018,
Sveriges Television AB,4272,15/11/2016,
UNIVERSITY OF DURHAM,5254,01/01/2024,
SUMITOMO MITSUI BANKING CORPORATION SINGAPORE BRANCH,122741,08/12/2023,
Daimler Truck North America LLC,4935,14/09/2018,
Odeon Cinemas Limited,5365,01/08/2022,
Jabil Inc.,5195,05/08/2019,
Equinix US Enterprise Inc.,5195,28/09/2021,
Alinta Energy,3196,31/03/2018,
"AT&T Services, Inc.",10715,25/10/2019,
Lincoln Financial Group,5039,31/01/2020,
"Conifer Revenue Cycle Solutions, LLC",84403,30/12/2016,
IBM Australia Ltd,5251,08/01/2020,
"Interstate Batteries, Inc.",17407,26/09/2020,
Deere & Company,3377,24/05/2024,
Retail Alchemy,0,09/07/2018,
netgo group GmbH,9532,08/04/2024,
"Wells Fargo Bank, N.A.",44776,01/12/2021,
"BMC Software, Inc.",4156,31/07/2019,
"KYOCERA MIRAI ENVISION CO., LTD",9356,26/04/2019,
DaVita Inc.,27274,01/11/2022,
Ares Management Corporation,9426,19/01/2023,
Barclays Execution Services Limited,0,11/07/2018,
UCLA,3995,30/09/2015,
Syngenta Proteç?o de Cultivos Ltda,6336,30/06/2023,
AIA SINGAPORE PRIVATE LIMITED,12075,30/03/2021,
Adidas AG (HZO),0,10/08/2018,
Legg Mason Inc,5070,01/03/2019,
Rogers Communications Canada Inc.,10390,01/10/2017,
DEG Digital (Digital Evolution Group),9116,04/01/2017,
SKIPTON BUILDING SOCIETY,7023,01/09/2018,
Jernigan Capital,1295,22/09/2016,
"Dominion Energy Services, Inc.",0,01/10/2018,
Florida State University,9351,01/11/2021,
ZZOOMM PLC,4518,05/08/2022,
Primo Water Corporation,0,07/06/2023,
"Celonis, Inc",40000,22/10/2021,
"Shapeways, Inc.",3896,19/08/2022,
AIA COMPANY LIMITED,3896,24/07/2021,
"MERCK & CO., INC.",69541,01/04/2020,
Catholic Health Initiatives,5194,31/10/2016,
Tiger Capital Group,5195,01/02/2022,
Tiger Capital Group,5195,01/02/2024,
JUST-EAT SPAIN SLU,5253,16/08/2019,
Beaulieu ICT NV,5554,06/10/2021,
ORONA S.C.,4418,05/07/2021,
Optum,6895,03/04/2018,
"Starkey Laboratories, Inc.",4676,01/05/2021,
OptumRx,3995,03/11/2018,
Sophinea Corporation,5195,28/02/2024,
Express LLC,3600,28/02/2017,
J.P. BODEN & CO. LIMITED,37557,17/06/2022,
EP-Nuffic,4670,16/06/2019,
BAE SYSTEMS  SERVICES LIMITED,8360,05/12/2022,
Alliance Boots Holdings Ltd,8487,01/03/2017,
LEGO Company LTD,21568,01/01/2023,
McKee Foods Corporation,3995,30/04/2014,
UNIVERSITY OF NOTTINGHAM (THE),11267,15/07/2022,
British Tourist Authority (t/a VisitBritain & VisitEngland),43914,08/03/2022,
"Tyson Shared Services, Inc.",19741,14/09/2021,
EASTSPRING INVESTMENTS (SINGAPORE) LIMITED,16535,22/10/2021,
"The Home Depot, Inc.",20000,29/12/2015,
White Space,3896,31/01/2017,
Chief Media LLC.,0,02/07/2021,
FAURECIA AUTOMOTIVE POLSKA S A,3896,27/09/2021,
Catholic Health Initiatives,5195,31/10/2017,
"Roku, Inc.",5195,13/12/2023,
"Zimmer Biomet Holdings, Inc.",139331,28/05/2021,
BC Hydro,6160,13/03/2022,
Pfizer,4535,15/03/2021,
COMMUNISIS PLC,8949,06/02/2024,
UNILEVER BRASIL LTDA,2919,26/11/2020,
Oxford University Press,3781,04/01/2021,
British Library,5233,17/06/2024,
"CAMPOFRIO FOOD GROUP, SOCIEDAD ANONIMA",27402,08/03/2020,
"Genworth Financial, Inc.",14586,17/01/2022,
GE Software,2425,14/12/2018,
"CBRE, Inc",29657,01/01/2020,
Lettuce Entertain You Enterprises,5195,15/01/2019,
Lasso Data Partners,4936,28/07/2019,
University of Texas Rio Grande Valley,4676,25/06/2024,
The Hershey Co.,50027,09/10/2017,
DEPARTMENT OF TRANSPORT AND MAIN ROADS,8074,24/10/2020,
The Kroger Co,16895,29/08/2023,
"Orlando TRS, LLC DBA Four Seasons Resort Orlando at Walt Disney World Resort",5195,22/02/2023,
Mayor's Office for Policing and Crime,6708,11/04/2016,
TRIDENT TRUST CO LTD,11895,01/07/2024,
Vizual Outcomes LLC dba Viztric,5195,08/01/2021,
ServiceTitan,3637,15/03/2023,
Kaiser Foundation Health Plan Inc.,43130,31/07/2020,
ATKINSRÉALIS CANADA INC,5852,18/03/2022,
Generation Research AB,5194,16/09/2016,
"ASSA Compa?ía de Seguros, S.A.",6002,10/07/2015,
Wells Fargo & Company,15117,14/05/2019,
Coventry University,27219,09/03/2023,
"Aptean, Inc.",4961,20/02/2023,
Band Net,6993,16/01/2015,
AUREN ENERGIA SA,71469,29/09/2023,
Pfizer Canada Inc,5259,10/12/2021,
Baker Tilly WM LLP,5195,18/09/2023,
"HARBISON-FISCHER, INC.",3995,19/05/2018,
KDDI CORPORATION,4778,01/05/2021,
"Ameriprise Financial Services, LLC",4156,18/01/2019,
"Blue Apron, LLC",10390,26/12/2019,
Banco Pichincha C.A.,6494,03/04/2020,
The Procter & Gamble Company,4713,20/09/2022,
"Altometrixs, LLC",3500,30/12/2017,
"Apex Tool Group, LLC",88080,29/12/2021,
SABMiller Holdings Ltd.,64728,20/02/2019,
Deloitte Management Services LP,159998,26/09/2018,
"Factual Data, Inc.",9870,17/10/2023,
Bronson Consulting Group,3000,05/01/2018,
"L3harris Technologies, Inc.",684160,30/09/2022,
Allianz Global Assistance Australia,3883,11/04/2022,
"Lytx, Inc.",14767,26/06/2024,
EAT. THE REAL FOOD COMPANY LIMITED,2180,20/05/2014,
KDDI CORPORATION,2929,12/12/2023,
PT. NUSANTARA COMPNET INTEGRATOR,18226,27/09/2022,
BAE SYSTEMS AUSTRALIA LIMITED,20134,01/09/2023,
STANDARD CHARTERED BANK - SG,19888,30/03/2021,
Waldale Manufacturing Limited,5236,09/06/2022,
MediaCom,15585,15/12/2017,
Georgia-Pacific LLC,11694,29/07/2016,
Verizon Services Ireland,14438,18/12/2019,
SANOFI K.K.,7605,01/11/2021,
"FIRESTONE BUILDING PRODUCTS COMPANY, LLC",4935,24/09/2021,
WireCo WorldGroup,5198,14/08/2021,
"Toys R Us, Inc.",22085,19/10/2017,
Thermo Fisher Scientific Inc.,10078,05/11/2017,
"RECRUIT HOLDINGS CO.,LTD.",4156,12/04/2019,
"Autodesk, Inc.",11700,19/08/2020,
Bluefyn Inc,0,02/04/2022,
KEOLIS,5195,16/04/2018,
JD SPORTS FASHION PLC,19621,27/06/2014,
BETWAY LIMITED GUERNSEY BRANCH,18960,01/06/2016,
Dubai Health Authority,11689,29/06/2021,
WEX INC.,34547,20/12/2021,
Media Impact GmbH & Co. KG,5195,14/08/2018,
Optum,3995,18/09/2017,
"Becton, Dickinson and Company",4713,04/03/2023,
Unilever Thai Trading Ltd.,3533,06/05/2020,
ADK MARKETING SOLUTIONS INC.,6750,20/04/2015,
"Toys R Us, Inc.",5037,16/10/2014,
Nationwide Mutual Insurance Co.,8490,27/06/2016,
"Greyhound Lines, Inc.",3091,04/02/2022,
"Rpe, Inc.",4500,14/06/2016,
PANASONIC CORPORATION JAPAN,5803,22/01/2020,
"Delhaize America, Inc.",3995,02/05/2017,
Lendlease Management Services Limited,2098,12/08/2015,
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A,52497,21/05/2024,
MANPOWER FRANCE,90259,01/09/2018,
Vornado Realty Trust,2970,28/03/2014,
"Healthplan Services, Inc.",45975,27/06/2017,
"National Christian Foundation, Inc.",8832,08/08/2023,
Raytheon Company,6234,28/01/2023,
Radwell International,11823,26/02/2024,
"Activision Blizzard, Inc.",25196,27/01/2020,
"Team Rehabilitation Services, LLC",1295,29/08/2016,
Stars Technology Services,4728,31/03/2023,
ABC Benefits Corporation o/a Alberta Blue Cross,11512,30/04/2024,
"Healthtrust Purchasing Group, LP",14745,19/10/2017,
Thermo King Corporation,5039,04/11/2020,
"Bank of Nova Scotia Trust Company, The",9354,01/11/2018,
Virgin Atlantic Airways,19200,01/05/2016,
Insulet Corporation,5195,13/09/2019,
Islamic Arab Insurance Co. P.S.C. Shj. Br.(Salama ),3740,01/11/2019,
"Saltchuk Resources, Inc",9351,30/11/2020,
ASTELLAS PHARMA INC.,10444,14/03/2022,
s.a D'leteren Automative,6300,21/06/2021,
ARLO TECHNOLOGIES INTERNATIONAL LIMITED,8023,16/07/2022,
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),8100,22/01/2018,
Experian Corporation,16900,01/07/2022,
"Palo Alto Networks, Inc.",77925,30/03/2023,
Mosaic Medical,3564,15/09/2023,
Sandoz SA (Pty) Ltd,1998,01/07/2016,
First Lion Holdings Inc,6119,30/11/2021,
Latam Trade Capital SA,4156,22/07/2022,
"North Georgia Electric Membership Foundation, Inc.",4961,10/03/2022,
British Library,19802,01/08/2020,
UCLA,4676,23/11/2022,
NoHo APC,7006,13/12/2021,
Fidelity Investments,4961,17/08/2021,
Deloitte Touche Tohmatsu Services LLC as agent for Deloitte Global Service Limited,2598,03/01/2021,
Teachers Insurance and Annuity Association,87409,30/04/2019,
Everton Football Club,6900,21/07/2017,
"TEPCO ENERGY PARTNER,INCORPORATED",9549,27/03/2024,
ICBC STANDARD BANK PLC,23783,26/05/2023,
Auto & General Holdings Pty Ltd,11429,28/11/2022,
"Mars Information Services, Inc.",6331,18/12/2020,
"Smith & Nephew, Inc.",5039,10/01/2019,
"Scientific Games, LLC",10390,11/07/2022,
"Navigant Consulting, Inc.",4000,31/12/2016,
Cargotec Finland Oy,4869,12/05/2023,
University of East Anglia,3506,30/06/2019,
ADANI CAPITAL PRIVATE LIMITED,4676,02/01/2024,
Raytheon Company,4702,15/01/2024,
Virtual Marketing LLC DBA Fusion92,15735,29/05/2018,
American Express India Private Limited,5962,11/12/2021,
"USCC Services, LLC",10925,30/06/2023,
Apoteket AB,23273,20/03/2019,
TRIGONO CAPITAL LTDA.,3282,12/04/2024,
Frontier Geotek Inc,20588,01/08/2023,
NEC CORPORATION,14508,14/09/2020,
AMALGAMOTION PTY LTD,3917,30/08/2023,
Teller Branch Norway,3818,01/08/2017,
Prime Buchholz LLC,4676,01/06/2020,
Driftwood Energy,4552,02/12/2021,
PACEMAKER GLOBAL LTD,4368,19/04/2023,
Rogers Communications Canada Inc,15540,17/04/2023,
WISR LIMITED,12932,16/04/2021,
NILFISK Production Kft.,5515,10/03/2023,
Health Advances LLC,10390,08/03/2022,
"Trade Area Systems, Inc.",5195,25/11/2019,
Citycom,1944,03/01/2017,
Newell Rubbermaid,5194,19/08/2017,
"Enel Green Power North America, Inc.",4156,14/12/2018,
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,7534,29/02/2024,
"United Community Banks, Inc.",12972,31/07/2017,
Aecon Construction Group Inc.,5950,29/09/2019,
Rockland Trust Company,2188,16/06/2017,
Broadridge Analytics Solutions Ltd,22437,07/03/2021,
MS AMLIN CORPORATE SERVICES LTD,5396,30/04/2020,
Orchestra A/S,3377,09/05/2018,
KGI SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,3995,15/01/2016,
DUNNHUMBY IRELAND LIMITED,10614,14/06/2022,
Dematic Corp.,9871,01/05/2023,
Experian Corporation,107239,01/07/2014,
SBI Growth Advisory,2300,01/07/2021,
Lakeshore Recycling,0,31/07/2020,
Johnson & Johnson,19340,22/09/2017,
Holmes Murphy & Associates,7990,01/04/2018,
ASHURST AUSTRALIA SERVICES PTY LIMITED,12076,13/12/2021,
Jemena,5156,29/04/2023,
SVB Financial Group,5195,26/05/2021,
"Apple, Inc Mexico",5039,09/03/2017,
"Adidas America, Inc.",14885,17/01/2022,
Citizens Bank N.A,6900,05/04/2024,
CLICK FRENZY PTY LTD,5413,22/01/2020,
PGGM Coöperatie U.A.,4278,31/03/2019,
"Elevate Funding, LLC",3637,19/10/2021,
Graco Inc.,4935,13/03/2020,
BI Inc.,183701,15/02/2017,
Encompass Health Corporation,18702,27/01/2021,
OVO Energy Ltd,52536,31/12/2023,
"NISSAN MOTOR CO.,LTD.",15285,11/01/2023,
Hydro-Extrusion North America,7990,28/07/2016,
Luxottica of America Inc.,4975,15/09/2021,
Bell Canada,10197,30/11/2015,
Coca Cola Enterprises Belgium,2394,07/10/2016,
"PRUDENTIAL FINANCIAL, INC.",4961,16/09/2022,
City of Tallahassee,4949,09/04/2016,
"Fusion AF, LLC",5195,20/10/2019,
Cognizant Technology Solutions India Pvt Ltd.,4089,21/12/2022,
"Knack Training, LLC",3637,25/02/2022,
TIM Participaç?es,5994,28/01/2015,
"BDO USA, P.C.",10078,29/05/2019,
"Meta Platforms, Inc.",4922,30/06/2023,
B2E Direct Marketing,3995,12/11/2014,
RELX ( UK ) Limited trading as LexisNexis,11218,15/01/2022,
BRADKEN RESOURCES PTY LIMITED,7569,24/02/2023,
ANWB B.V.,4418,29/07/2021,
MERIDIAN GLOBAL VAT SERVICES OPERATIONS UNLIMITED COMPANY,7004,11/12/2019,
"BJ'S Wholesale Club, Inc.",9871,28/01/2023,
"Franklin Templeton Companies, LLC",3995,29/03/2017,
WOLSELEY UK LTD,5118,19/05/2023,
Signature Systems Group,9356,14/10/2020,
ADIDAS SINGAPORE PTE LTD,9847,31/10/2022,
Donlen Corporation,14282,08/12/2015,
NBN CO LIMITED,4796,08/05/2018,
Avera eCARE,8995,26/06/2017,
NTT Data Information Processing Services Pvt. Ltd,4156,31/03/2019,
UNILEVER BRASIL LTDA,8363,27/04/2021,
BlueSky Consultancy,5158,01/09/2023,
"Hydrian, LLC",29019,22/01/2023,
Diageo North America Inc.,3417,07/06/2019,
UNILEVER ASIA PRIVATE LIMITED,1998,16/05/2017,
FUJITSU NETWORK SOLUTIONS LTD.,4778,01/04/2021,
DB Systel GmbH,5662,11/01/2020,
The Parsons Corporation,4378,30/04/2016,
B.I. Samurai Consulting,2500,20/02/2015,
Urbek,1295,12/01/2017,
Rockland Trust Company,4837,09/06/2022,
Unitedhealth Group Incorporated,2900,19/10/2018,
Kiewit Corporation,3995,14/12/2018,
Jpmorgan Chase & Co,40305,03/11/2016,
Intuit Inc.,13247,11/10/2023,
"Koch Capabilities, LLC",2729,01/08/2021,
Sally Holdings LLC,7990,01/04/2015,
Zoetis LLC,25767,28/04/2020,
"Watchguard Technologies, Inc.",10390,09/02/2022,
Colliers New Zealand,5053,08/07/2023,
Grupo Big Brasil S.A.,20907,01/06/2021,
PARQUES REUNIDOS SERVICIOS CENTRALES SA,132980,04/09/2023,
Voya Services Company,54580,01/01/2020,
Levi Strauss & Co.,31092,10/10/2021,
Hume Community Housing,1748,08/08/2015,
Avient Corporation,10390,01/03/2021,
"Energy Technologies, LLC (dba Enertech)",28833,24/08/2015,
DISA HOLDING ENERGETICO SL.,5728,05/06/2023,
"TSIT WING COFFEE COMPANY, LIMITED",7795,01/10/2023,
FLORIDA POWER & LIGHT COMPANY,15585,16/11/2018,
Spike Marketing,3283,31/12/2019,
Laboratory Corporation of America Holdings,19877,28/02/2020,
BUNNINGS GROUP LIMITED,0,14/01/2019,
HOUSTON INDEPENDENT SCHOOL DISTRICT,4325,31/03/2021,
"VF Services, LLC",9902,17/09/2021,
THE TREASURY,3923,30/10/2020,
Planb?rnefonden,0,31/12/2022,
Transport for NSW,2098,06/05/2015,
"Invesco, Ltd.",4354,23/04/2018,
Finisterre LLC,4935,29/09/2020,
Clorox Services Company,18195,29/06/2019,
"Rock West Composites, Inc.",3637,28/11/2023,
Optus Internet Pty Ltd,22573,13/09/2022,
Komatsu Mining Corp.,6058,07/03/2022,
ING Bank N.V.,3654,21/04/2020,
"Daimler Trucks Financial Services USA, LLC",22215,01/10/2021,
VERIZON DATA SERVICES INDIA PRIVATE LIMITED,7793,27/09/2021,
"1st In Flowers , L.L.C.",3637,10/05/2021,
Fender Musical Instruments Corporation,7590,07/01/2022,
RSM Netherlands Holding N.V.,5897,01/04/2022,
Australian Postal Corporation,4622,05/10/2023,
DELOITTE,9824,29/09/2017,
ANGLO AMERICAN SOUTH AFRICA LTD,8346,31/12/2021,
"Southern Glazer's Wine and Spirits, LLC",16890,30/11/2018,
Paylocity Corporation,11689,28/02/2024,
Ahlstrom-Munksjö Oyj,8048,15/11/2021,
Intelipost Consultoria e Tecnologia de Logística S/A,16381,19/08/2023,
"Amazon.com Services, Inc.",66943,03/10/2023,
Johnson & Johnson,38984,16/12/2018,
County of Chester,4676,30/11/2023,
AXA CHINA REGION INSURANCE COMPANY LIMITED,5195,20/12/2019,
Mark's Work Wearhouse Ltd,5125,15/12/2022,
"TOYO ENGINEERING CO., LTD. (Japan)",9198,20/12/2019,
Pfizer Inc.,3915,24/11/2015,
"Intapp, Inc.",4848,31/03/2017,
"Charter Communications Operating, LLC",29766,22/09/2021,
"Six Continents Hotels, Inc.",5039,01/03/2019,
Indelible Business Solutions Inc,12468,09/05/2023,
Heidelberg Materials,5897,01/06/2022,
COOPERATIVA DE CREDITO MAXI ALFA DE LIVRE ADMISSAO DE ASSOCIADOS - SICOOB MAXICREDITO,1537,04/12/2023,
Edgewater Actuarial,10691,01/12/2022,
Seagate Technology LLC,24155,19/11/2018,
"Comcast Cable Communications Management, LLC",23555,13/06/2022,
Rabobank,2996,04/09/2018,
Capital One Financial Corporation,3995,01/07/2018,
Visionary Services Inc.,3961,01/06/2019,
Advantage Sales & Marketing LLC,13500,30/06/2020,
Give And Go Prepared Foods Corp,18479,19/01/2022,
"CHUBB GENERAL INSURANCE INDONESIA, PT",10526,23/10/2019,
AXA CHINA REGION INSURANCE COMPANY LIMITED,10390,02/12/2019,
Norges Forskningsr?d,3635,01/01/2017,
Abu Dhabi Commercial Bank,4416,23/10/2023,
Dell USA L.P,36594,06/05/2022,
Verizon Communications Inc.,4184,11/04/2024,
Woodmen of the World Life Insurance Society,5195,08/05/2022,
Natural Gas Exchange Inc,0,29/12/2017,
Rutgers University,5195,24/06/2021,
"Vizio, Inc.",4055,12/01/2018,
Johnson & Johnson,11604,21/07/2017,
PORSCHE JAPAN K.K.,11760,14/09/2021,
CLEAResult Consulting Inc.,4935,10/05/2023,
ATKINSRÉALIS CANADA INC,6160,06/08/2022,
BNP Paribas (Suisse) SA,15783,31/03/2020,
General Electric Capital Corporation,1916,30/03/2018,
Daimler Truck North America LLC,0,30/11/2017,
"Genworth Financial, Inc.",19170,22/01/2022,
Saint Gobain (Brazil),4479,21/09/2018,
Exxonmobil Global Services Company,5195,03/08/2023,
"Bridgestone Americas, Inc.",7990,03/01/2017,
Vodafone GmbH,3736,20/12/2019,
